,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,_Basement,_Garage,_Pool,_Fence,_Porch,_New,_Old,_Remodeled,_NormalSale,TotalSF,TotalFloorSF,TotalPorchSF
0,60,RL,-0.22461950635690092,-0.20277041433353402,2,0,1,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5312082151640373,4,3,PConc,4,3,1,6,0.6254461267561485,1,-0.2890821479907773,-0.9433204750017443,-0.47245622996812375,GasA,5,1,SBrkr,-0.815613305083696,1.1833330361133871,-0.12040916900268797,0.40974548482166057,1.0,0.0,2,1,3,1,4,8,10,0,0,Attchd,2003.0,2,2.0,0.36067206029244614,3,3,3,-0.7497745007299524,0.22621844653887702,-0.35988197253488313,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,2,2008,WD,Normal,1,1,0,0,1,1,0,0,1,0.01162666189572297,0.4255611852397038,-0.24571605838752883
1,20,RL,0.4932593182493925,-0.08610651431186238,2,0,1,Lvl,4,FR2,1,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,-0.5774518659425193,3,3,CBlock,4,3,4,5,1.2578464986735474,1,-0.2890821479907773,-0.6401841238678335,0.5129468105700007,GasA,5,1,SBrkr,0.2841197935718116,-0.7963568313537193,-0.12040916900268797,-0.4923077624820263,0.0,1.0,2,0,3,1,3,6,10,1,3,Attchd,1976.0,2,2.0,-0.0545914972823225,3,3,3,1.6313805004610533,-0.7075029749592595,-0.35988197253488313,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,5,2007,WD,Normal,1,1,0,0,0,0,0,0,1,-0.04361759826334819,-0.4850844106006638,-0.827645487264569
2,60,RL,-0.08104374143564223,0.08128082050184039,2,0,2,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.33888962966596115,4,3,PConc,4,3,2,6,0.11394582594060534,1,-0.2890821479907773,-0.3008523875239036,-0.31712176052369034,GasA,5,1,SBrkr,-0.6422563634237145,1.2111506923307234,-0.12040916900268797,0.5627723749892504,1.0,0.0,2,1,3,1,4,6,10,1,3,Attchd,2001.0,2,2.0,0.6438063040934248,3,3,3,-0.7497745007299524,-0.06461281589496878,-0.35988197253488313,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,9,2008,WD,Normal,1,1,0,0,1,1,0,1,1,0.1957741957592935,0.5800457059626233,-0.4269727657426725
3,70,RL,-0.46391244789233205,-0.09117885779106549,2,0,2,Lvl,4,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.5774518659425193,3,3,BrkTil,3,4,1,5,-0.5138045432421068,1,-0.2890821479907773,-0.06105796050752643,-0.715166338475051,GasA,4,1,SBrkr,-0.5311995726727888,0.9561555103384732,-0.12040916900268797,0.4238400668107807,1.0,0.0,1,0,3,1,4,7,10,1,4,Detchd,1998.0,1,3.0,0.8042490422473126,3,3,3,-0.7497745007299524,-0.17176117573901725,4.086652746428548,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,2,2006,WD,Abnorml,1,1,0,0,1,0,1,1,0,-0.11069991417079174,0.43979002267470957,2.1010813105264363
4,60,RL,0.6846936714777374,0.3866358979498679,2,0,2,Lvl,4,FR2,1,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.4022982788906173,4,3,PConc,4,3,3,6,0.5068710570216363,1,-0.2890821479907773,-0.1741685392888364,0.2289759836168959,GasA,5,1,SBrkr,-0.03279836540034209,1.6446425017175488,-0.12040916900268797,1.3923392006346051,1.0,0.0,2,1,4,1,4,9,10,1,3,Attchd,2000.0,2,3.0,1.7197164305371435,3,3,3,0.7843924799031788,0.5782773431693219,-0.35988197253488313,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,12,2008,WD,Normal,1,1,0,0,1,0,0,0,1,1.0336454748385393,1.4175144235658186,-0.026300044220775975
5,50,RL,0.7325522597848236,0.3719261018601789,2,0,2,Lvl,4,Inside,1,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,-0.5774518659425193,3,3,Wood,4,3,1,6,0.6858961623070764,1,-0.2890821479907773,-1.1378706705055974,-0.6180822950722801,GasA,5,1,SBrkr,-0.9781354378899286,0.5157092868973138,-0.12040916900268797,-0.2909565912088819,1.0,0.0,1,1,1,1,3,5,10,0,0,Attchd,1993.0,1,2.0,0.03978658398467037,3,3,3,-0.43015637976471677,-0.24829571848476614,-0.35988197253488313,10.787519632905314,-0.2706064059624183,-0.05811528904199458,0,MnPrv,Shed,1.321694806940924,10,2009,WD,Normal,1,1,0,1,1,0,0,1,1,-0.5250318653638254,-0.28181530438629604,2.5112938587512352
6,20,RL,0.2539663767139614,-0.03700622943317623,2,0,1,Lvl,4,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,0.47464392531166194,4,3,PConc,5,3,3,6,2.1669220333048083,1,-0.2890821479907773,-0.565531141872169,1.5420376706393721,GasA,5,1,SBrkr,1.4542791497766867,-0.7963568313537193,-0.12040916900268797,0.3775292974179575,1.0,0.0,2,0,3,1,4,7,10,1,4,Attchd,2004.0,2,2.0,0.7759356178672148,3,3,3,1.287791020423425,0.1649908123422779,-0.35988197253488313,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,8,2007,WD,Normal,1,1,0,0,1,1,0,1,1,1.082313037359626,0.39303812824540496,-0.28387536519913803
7,60,RL,0.0,-0.00677506229712567,2,0,2,Lvl,4,Corner,1,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,0.7800910905144887,3,3,CBlock,4,3,2,5,0.9811713359596854,4,-0.090899112777183,-0.7940145110104152,0.13674614238426355,GasA,5,1,SBrkr,-0.1357290495109561,1.4823728404497531,-0.12040916900268797,1.1748799356596094,1.0,0.0,2,1,3,1,3,7,10,2,3,Attchd,1973.0,2,2.0,0.05866220023806895,3,3,3,1.1279819599408072,2.4151063690672956,3.3673603654197577,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,Shed,0.6169428501497195,11,2009,WD,Normal,1,1,0,0,1,0,0,0,1,0.8416059038093873,1.1979837888543015,3.2935596483892238
8,50,RM,-0.8946397426561081,-0.43914162046439914,2,0,1,Lvl,4,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,-0.5774518659425193,3,3,BrkTil,3,3,1,1,-1.0160048385882765,1,-0.2890821479907773,0.8709732086504679,-0.23945452580147364,GasA,4,1,FuseF,-0.36596873765311905,0.9468829582660278,-0.12040916900268797,0.538610234436473,0.0,0.0,2,0,2,2,3,8,7,2,3,Detchd,1931.0,1,2.0,-0.016840264775525353,2,3,3,-0.030633728558172164,-0.7075029749592595,2.9913666208015264,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,4,2008,WD,Abnorml,1,1,0,0,1,0,0,1,0,0.22208098631123213,0.5556534132168992,1.128018986830402
9,190,RL,-0.9424983309631944,-0.3072606900051182,2,0,1,Lvl,4,Corner,1,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.5774518659425193,3,3,BrkTil,3,3,1,6,0.9625713250209383,1,-0.2890821479907773,-0.9659425907580064,-0.14479758348377203,GasA,5,1,SBrkr,-0.2169901159140724,-0.7963568313537193,-0.12040916900268797,-0.8648074293373434,1.0,0.0,1,0,2,2,3,5,10,2,3,Attchd,1939.0,2,1.0,-1.2579120334364817,4,3,3,-0.7497745007299524,-0.6462753407626604,-0.35988197253488313,-0.11650114923917249,-0.2706064059624183,-0.05811528904199458,0,None,None,-0.08780910664148496,1,2008,WD,Normal,1,1,0,0,1,0,0,1,1,-0.6434124228475493,-0.8611322570972443,-0.7894861804529598
