Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,_Basement,_Garage,_Pool,_Fence,_Porch,_MasVnrArea,_WoodDeck,_MiscFeature,_New,_Remodeled,_NormalSale,_AfterWW2,LogPrice,TotalFloorSF,TotalSF,TotalPorchSF
1,60,RL,-0.0872058203399849,-0.13327022431347535,2,0,1,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.193073548936565,4,3,PConc,4,3,1,6,0.7794310595713416,1,-0.35534240780090887,-0.3405109098894645,0.0025128746429474535,GasA,5,1,SBrkr,-0.8036450418532293,1.1805282453751202,-0.1336023189084742,0.5291939272086494,1,0,2,1,3,1,4,8,10,0,0,Attchd,2003.0,2,2,0.34369293833631287,3,3,3,-0.9467014684878265,0.8452087808985793,-0.4042442108783149,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,2,2008,WD,Normal,208500,1,1,0,0,1,1,0,0,1,0,1,1,12.247694320220994,0.376883203521891,0.5317068018515969,0.019673723523165987
2,20,RL,0.5637105495096784,0.1134128858810546,2,0,1,Lvl,4,FR2,1,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,-0.8159593473487858,3,3,CBlock,4,3,4,5,0.8882568659259541,1,-0.35534240780090887,0.0022183470683185807,0.3411144831911436,GasA,5,1,SBrkr,0.4184785783529064,-0.8701173641387884,-0.1336023189084742,-0.381965483549104,0,1,2,0,3,1,3,6,10,1,3,Attchd,1976.0,2,2,0.2235925632808095,3,3,3,1.2495398091517058,-1.0729164749626994,-0.4042442108783149,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,5,2007,WD,Normal,181500,1,1,0,0,0,0,1,0,0,0,1,1,12.109010932687042,-0.45163878578588196,-0.040851000357960354,-1.8984515323381128
3,60,RL,0.05407918618038168,0.4200491346062415,2,0,2,Lvl,4,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.1210304498107873,4,3,PConc,4,3,2,6,0.6548028018522422,1,-0.35534240780090887,0.23037212939947482,0.0653967113894059,GasA,5,1,SBrkr,-0.5766767691786049,1.1847617603650702,-0.1336023189084742,0.6596311910588607,1,0,2,1,3,1,4,6,10,1,3,Attchd,2001.0,2,2,0.41499666822698705,3,3,3,-0.9467014684878265,0.6751373224620149,-0.4042442108783149,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,9,2008,WD,Normal,223500,1,1,0,0,1,1,0,0,1,1,1,1,12.31716669303576,0.6080849911864653,0.7250279024482666,-0.15039773491339847
4,70,RL,-0.33760211955130853,0.10331721412432927,2,0,2,Lvl,4,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.8159593473487858,3,3,BrkTil,3,4,1,5,0.384538895318318,1,-0.35534240780090887,0.3480342559671154,-0.10581899953790543,GasA,4,1,SBrkr,-0.4394207355100354,1.1435502887746491,-0.1336023189084742,0.5414477247626573,1,0,1,0,3,1,4,7,10,1,4,Detchd,1998.0,1,3,0.45234419496393835,3,3,3,-0.9467014684878265,0.5925582926186244,2.8443743576062896,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,2,2006,WD,Abnorml,140000,1,1,0,0,1,0,0,0,0,1,0,0,11.84939770159144,0.7041295532646137,0.43562872522475193,3.0156418037278154
5,60,RL,0.7169155941641395,0.8784313527562004,2,0,2,Lvl,4,FR2,1,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.4127096432092436,4,3,PConc,4,3,3,6,0.7543995686821827,1,-0.35534240780090887,0.29571099938103146,0.2562366999455119,GasA,5,1,SBrkr,0.1121269807335521,1.2440867515963596,-0.1336023189084742,1.2822945202909706,1,0,2,1,4,1,4,9,10,1,3,Attchd,2000.0,2,3,0.6336144648019478,3,3,3,1.0808841527880613,0.9918482705072537,-0.4042442108783149,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,12,2008,WD,Normal,250000,1,1,0,0,1,1,1,0,0,0,1,1,12.429216196844383,1.3562137323299117,1.5385312202364825,0.16631321313184028
6,50,RL,0.7540901617995986,0.8586715017442426,2,0,2,Lvl,4,Inside,1,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,-0.8159593473487858,3,3,Wood,4,3,1,6,0.7915055176998225,1,-0.35534240780090887,-0.7952963221832784,-0.06086088818213023,GasA,5,1,SBrkr,-1.0323816175061022,1.055765401622345,-0.1336023189084742,-0.15327142453560696,1,0,1,1,1,1,3,5,10,0,0,Attchd,1993.0,1,2,0.25278866213083967,3,3,3,0.48404688563261056,0.5230619862900139,-0.4042442108783149,8.5288849645289,-0.29276941900848363,-0.06939258050999438,0,3,Shed,5.155843751854795,10,2009,WD,Normal,143000,1,1,0,1,1,0,1,1,0,1,1,1,11.870599909242044,0.023383784116242756,-0.2141323127177372,8.354933320932117
7,20,RL,0.3611968868253969,0.20850702997059253,2,0,1,Lvl,4,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,1.1732634490647547,4,3,PConc,5,3,3,6,1.0006043382468603,1,-0.35534240780090887,0.06133298800427791,0.5938490492003943,GasA,5,1,SBrkr,1.3455889708585924,-0.8701173641387884,-0.1336023189084742,0.5009959421231589,1,0,2,0,3,1,4,7,10,1,4,Attchd,2004.0,2,2,0.4458991652303094,3,3,3,1.1897195728940069,0.814213325495542,-0.4042442108783149,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,8,2007,WD,Normal,307000,1,1,0,0,1,1,1,0,1,1,1,1,12.634603026569334,0.47547160671980404,1.0948449913235532,-0.011321731879871288
8,60,RL,0.14713213959216614,0.2648124119053174,2,0,2,Lvl,4,Corner,1,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,1.2697329777245665,3,3,CBlock,4,3,2,5,0.844927523607775,4,1.5403871109320115,-0.14485945521864269,0.22679424792710304,GasA,5,1,SBrkr,0.005859570478879222,1.2232125099903688,-0.1336023189084742,1.1311481301731448,1,0,2,1,3,1,3,7,10,2,3,Attchd,1973.0,2,2,0.2584819849648112,3,3,3,1.1583790905570357,1.4010034233532471,2.74259221886928,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,Shed,4.591453896436666,11,2009,WD,Normal,200000,1,1,0,0,1,1,1,1,0,0,1,1,12.206072645530174,1.229072080469248,1.3579423781002478,3.722304795725429
9,50,RM,-0.844968866254711,-0.7569446421563429,2,0,1,Lvl,4,Inside,1,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,-0.8159593473487858,3,3,BrkTil,3,3,1,1,-1.4141397865663,1,-0.35534240780090887,0.653526937683681,0.09521795485550365,GasA,4,1,FuseF,-0.2456735725858671,1.1419410146343132,-0.1336023189084742,0.6394089856815816,0,0,2,0,2,2,3,8,7,2,3,Detchd,1931.0,1,2,0.23542020647347936,2,3,3,0.791222206801225,-1.0729164749626994,2.6812936230712983,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,4,2008,WD,Abnorml,129900,1,1,0,0,1,0,1,0,0,1,0,0,11.77452020265869,0.8962674420484461,0.7346269405370852,1.1870863016115005
10,190,RL,-0.9066871025690053,-0.384571498242292,2,0,1,Lvl,4,Corner,1,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.8159593473487858,3,3,BrkTil,3,3,1,6,0.8418028908516411,1,-0.35534240780090887,-0.37748106873721,0.1302371657775976,GasA,5,1,SBrkr,-0.08064272368978773,-0.8701173641387884,-0.1336023189084742,-0.8573186453704569,1,0,1,0,2,2,3,5,10,2,3,Attchd,1939.0,2,1,-0.3301753733192162,4,3,3,-0.9467014684878265,-0.3249147818831627,-0.4042442108783149,-0.12852142748861478,-0.29276941900848363,-0.06939258050999438,0,0,None,-0.19048147368468307,1,2008,WD,Normal,118000,1,1,0,0,1,0,0,0,0,1,1,0,11.678439903447801,-0.9507600878285761,-0.7270814795928593,-1.150449839258576
