,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted,AfterWW2,Age,logPrice,PriceRange
0,847,848,20,RL,36.0,15523,2,0.0,2,4,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,1972,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3,3.0,4.0,460,1.0,0,404,864,GasA,5,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,3,5,8,1,2.0,Attchd,1972.0,1.0,1,338,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,8,2009,WD,Normal,133500,1728,0,2.0,1,1,0,0,0,0,1,1,37,11.801856756822444,Low
1,722,723,20,RL,70.0,8120,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,7,1970,1970,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3,1.0,5.0,191,1.0,0,673,864,GasA,5,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,0,0.0,Detchd,1994.0,1.0,2,463,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,7,2009,WD,Normal,124500,1728,0,1.0,1,1,0,0,0,0,1,1,39,11.7320609948869,Low
2,725,726,20,RL,60.0,6960,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,6,1970,1970,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,375,4.0,239,250,864,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,4,5,8,0,0.0,Detchd,1989.0,1.0,2,660,3.0,3.0,3,96,0,0,0,0,0,0.0,0.0,Shed,500,11,2009,WD,Normal,120500,1728,0,1.0,1,1,0,0,0,0,1,1,39,11.699405031912846,Low
3,900,901,20,RL,73.0,7340,2,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,322,1.0,0,536,858,GasA,3,Y,SBrkr,858,0,0,858,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1979.0,1.0,1,684,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2007,WD,Normal,110000,1716,0,1.0,1,1,0,0,0,0,1,1,36,11.608235644774554,Low
4,970,971,50,RL,60.0,10800,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1949,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,720,720,GasA,3,N,FuseA,720,472,0,1192,0,0,1,1,4,1,3,6,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,12,2006,WD,Abnorml,135000,1912,0,1.5,1,0,0,0,1,0,1,1,56,11.813030057420569,Low
5,1125,1126,20,RL,60.0,10434,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1955,1955,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,1005,1005,GasA,3,Y,SBrkr,1005,0,0,1005,0,0,1,0,2,1,2,5,8,1,3.0,Detchd,1977.0,1.0,2,672,2.0,2.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,11,2009,WD,Normal,115000,2010,0,1.0,1,1,0,0,0,0,1,1,54,11.652687407345386,Low
6,1200,1201,20,RL,71.0,9353,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,864,864,GasA,4,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,0,0.0,Attchd,1972.0,1.0,1,280,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Shed,0,7,2006,Oth,Abnorml,116050,1728,0,1.0,1,1,0,0,0,0,1,1,36,11.661776411702585,Low
7,1232,1233,90,RL,70.0,9842,2,0.0,1,4,4,FR2,3,NAmes,Norm,Norm,Duplex,1Story,4,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,Slab,0.0,0,0.0,0.0,0,0.0,0,0,0,GasA,3,Y,SBrkr,1224,0,0,1224,0,0,2,0,2,2,3,6,8,0,0.0,CarPort,1962.0,1.0,2,462,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,3,2007,WD,Normal,101800,1224,0,2.0,0,1,0,0,0,0,1,1,45,11.53076538309856,Low
8,1340,1341,20,RL,70.0,8294,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,858,858,GasA,3,Y,SBrkr,872,0,0,872,0,0,1,0,3,1,3,5,8,0,0.0,Detchd,1974.0,1.0,4,480,3.0,3.0,3,0,0,0,0,0,0,0.0,3.0,Missing,0,6,2007,WD,Normal,123000,1730,0,1.0,1,1,0,0,0,0,1,1,36,11.719939634354555,Low
9,1362,1363,50,RL,73.0,12513,2,0.0,2,4,4,FR2,3,NAmes,Feedr,Norm,1Fam,1.5Fin,4,4,1920,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,BrkTil,3.0,2,1.0,1.0,0,1.0,0,715,715,GasA,4,Y,SBrkr,1281,457,0,1738,0,0,2,0,4,1,3,7,8,1,4.0,Attchd,1920.0,1.0,1,368,3.0,3.0,3,55,0,0,0,0,0,0.0,0.0,Missing,0,6,2009,WD,Normal,104900,2453,0,2.0,1,1,0,0,1,0,1,0,2,11.560762794384386,Low
